Water Source Type,Contaminant Level (ppm),Turbidity (NTU),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Risk Level
Treated Supply,11.126331367459702,2.3776914483621567,3.1575281168435767,4.022440592972262,40.01810861570438,Chlorinated,77.84424014071179,90.75167025504135,331.5635030472274,22.416850592453024,102.87675944957026,Low
Open Well,17.342892096116614,1.5759645811216485,1.6291271000874314,2.3454072030794237,74.02135469354835,None,90.26057949334857,78.04443181861166,384.13272679368765,34.477268365624724,313.28382679292014,Low
Open Well,21.874760317098076,2.1908145705121136,3.4710150423857984,3.7975338280076683,34.08680395174174,Filtered,75.15203807336162,92.58804149827454,206.38635256932872,19.90848887897353,392.30567699038323,Low
River,23.737909651697905,2.2380550407729656,2.3971163161190567,2.8484810463150545,68.84543223135798,Filtered,83.99950923445272,84.56749090238236,352.391354312761,37.40009414670932,479.7521038322195,Low
Open Well,25.92917652660514,0.7955312684817268,5.280863713293524,4.198040872365361,41.351625225077754,None,80.10189397187317,99.73250506297283,369.16897394838793,27.97568477779152,385.28196906272944,Low
Treated Supply,9.111839432751824,0.5062370912475809,6.253935613339543,0.41409527116605505,26.547352523407746,Filtered,73.99851884571379,91.133255273869,445.5920709731819,19.928137108323615,129.6145608374611,Low
River,14.65969984051393,0.8205003993426614,2.2381213281095307,4.548693384287178,21.60170011679461,Chlorinated,94.78929369553026,78.16827938432125,479.32299324420563,36.55459013866363,460.86039699454506,Low
Treated Supply,22.162666711994945,1.517617789392824,6.5103392560319175,2.6966436404633964,39.22053012905572,None,82.54364864200792,95.96656769148477,277.97290380518547,21.900489120558994,171.75624727536672,Low
Treated Supply,19.88249160243293,2.430710473549056,4.33994032287601,4.175334783995268,24.400595648278397,Filtered,91.52649266268068,77.75397682844577,263.94083669227723,26.2601640662279,231.0037870193908,Low
River,6.551636260627545,0.9631554870710364,3.500673089180784,2.082710163638098,29.289758935095335,Chlorinated,70.52450594218219,81.52623130258573,202.2554455057632,26.755097628611146,462.8084583446837,Low
Treated Supply,7.390358970114639,0.7466290369382867,6.165546695967846,1.0876977035029793,43.99982692181438,Chlorinated,95.54129342587959,77.86397531999182,290.38479701716943,28.01798372065911,652.3664238240875,Low
Treated Supply,16.6297961119512,1.1134519976341055,4.86115229891976,3.688169514535245,54.25039103464861,Filtered,79.20510266784635,89.93621120321112,553.8078809552603,24.48802006384698,562.5090530406228,Low
Treated Supply,18.58196827259443,1.307989293145466,4.594506100807268,4.505465989269056,40.386354631211006,Chlorinated,71.9241958906268,74.35655029639877,542.4071330017007,35.7335211389325,495.64498485767,Low
River,28.12363899066427,0.9277410766376541,4.108397319755893,2.714460442834236,32.26798025483289,Chlorinated,90.61558331370135,84.6626292097412,548.9218559930645,24.90947271716659,770.3676137613072,Low
Treated Supply,8.541827679767302,2.0324428029686548,1.8730948012725692,3.369944145935235,24.706565386345602,Filtered,80.58471221321555,91.53185751695115,228.05942375041388,22.68902978942478,281.4926785681995,Low
Treated Supply,10.692538419784366,0.6614607499437035,6.202494998076819,4.657822259879732,30.55264108345495,Filtered,93.28579211937964,81.16155410331626,325.4764220894084,35.33416377427457,302.852425717697,Low
